Variable,Table,Type,Description
SDIASAN4,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary in diameter class 4 (450-750mm)
SDIASAN5,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary in diameter class 5 (750-1200mm)
SDIASAN6,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary in diameter class 6 (>1200mm)
SDIASAND0,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer diameter at minimum
SDIASAND1,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer diameter distribution by length in decile 1
SDIASAND10,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer diameter distribution by length in decile 10
SDIASAND2,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer diameter distribution by length in decile 2
SDIASAND3,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer diameter distribution by length in decile 3
SDIASAND4,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer diameter distribution by length in decile 4
SDIASAND5,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer diameter distribution by length in decile 5
SDIASAND6,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer diameter distribution by length in decile 6
SDIASAND7,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer diameter distribution by length in decile 7
SDIASAND8,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer diameter distribution by length in decile 8
SDIASAND9,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer diameter distribution by length in decile 9
SDIASTR0,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm with no diameter
SDIASTR1,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm in diameter class 1 (0-400mm)
SDIASTR2,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm in diameter class 2 (400-750mm)
SDIASTR3,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm in diameter class 3 (>750mm)
SDIASTR4,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm in diameter class 4 (450-750mm)
SDIASTR5,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm in diameter class 5 (750-1200mm)
SDIASTR6,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm in diameter class 6 (>1200mm)
SDIASTRD0,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer diameter at minimum
SDIASTRD1,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer diameter distribution by length in decile 1
SDIASTRD10,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer diameter distribution by length in decile 10
SDIASTRD2,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer diameter distribution by length in decile 2
SDIASTRD3,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer diameter distribution by length in decile 3
SDIASTRD4,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer diameter distribution by length in decile 4
SDIASTRD5,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer diameter distribution by length in decile 5
SDIASTRD6,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer diameter distribution by length in decile 6
SDIASTRD7,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer diameter distribution by length in decile 7
SDIASTRD8,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer diameter distribution by length in decile 8
SDIASTRD9,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer diameter distribution by length in decile 9
SLOP0,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID with no Sope
SLOP1,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID in slope class 1 (0-0.5%)
SLOP2,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID in slope class 2 (0.5-2%)
SLOP3,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID in slope class 3 (>2%)
SLOP4,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID in slope class
SLOP5,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID in slope class
SLOPCOM0,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined with no slope
SLOPCOM1,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined in slope class 1 (0-0.2%)
SLOPCOM2,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined in slope class 2 (0.2-0.5%)
SLOPCOM3,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined in slope class 3 (0.5-1.0%)
SLOPCOM4,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined in slope class 4 (1.0-2.0%)
SLOPCOM5,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is combined in slope class 5 (>2.0%)
SLOPCOMD0,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer slope at minimum
SLOPCOMD1,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer slope distribution by length in decile 1
SLOPCOMD10,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer slope distribution by length in decile 10
SLOPCOMD2,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer slope distribution by length in decile 2
SLOPCOMD3,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer slope distribution by length in decile 3
SLOPCOMD4,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer slope distribution by length in decile 4
SLOPCOMD5,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer slope distribution by length in decile 5
SLOPCOMD6,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer slope distribution by length in decile 6
SLOPCOMD7,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer slope distribution by length in decile 7
SLOPCOMD8,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer slope distribution by length in decile 8
SLOPCOMD9,ANALYSIS_MUNICIPAL,float,within DRUID combined sewer slope distribution by length in decile 9
SLOPD0,ANALYSIS_MUNICIPAL,float,within DRUID sewer slope at minimum
SLOPD1,ANALYSIS_MUNICIPAL,float,within DRUID sewer slope distribution by length in decile 1
SLOPD10,ANALYSIS_MUNICIPAL,float,within DRUID sewer slope distribution by length in decile
SLOPD2,ANALYSIS_MUNICIPAL,float,within DRUID sewer slope distribution by length in decile 2
SLOPD3,ANALYSIS_MUNICIPAL,float,within DRUID sewer slope distribution by length in decile 3
SLOPD4,ANALYSIS_MUNICIPAL,float,within DRUID sewer slope distribution by length in decile 4
SLOPD5,ANALYSIS_MUNICIPAL,float,within DRUID sewer slope distribution by length in decile
SLOPD6,ANALYSIS_MUNICIPAL,float,within DRUID sewer slope distribution by length in decile
SLOPD7,ANALYSIS_MUNICIPAL,float,within DRUID sewer slope distribution by length in decile
SLOPD8,ANALYSIS_MUNICIPAL,float,within DRUID sewer slope distribution by length in decile
SLOPD9,ANALYSIS_MUNICIPAL,float,within DRUID sewer slope distribution by length in decile
SLOPOTH0,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary with no slope
SLOPOTH1,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other in slope class 1 (0-0.2%)
SLOPOTH2,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other in slope class 2 (0.2-0.5%)
SLOPOTH3,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other in slope class 3 (0.5-1.0%)
SLOPOTH4,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other in slope class 4 (1.0-2.0%)
SLOPOTH5,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is other in slope class 5 (>2.0%)
SLOPOTHD0,ANALYSIS_MUNICIPAL,float,within DRUID other sewer slope at minimum
SLOPOTHD1,ANALYSIS_MUNICIPAL,float,within DRUID other sewer slope distribution by length in decile 1
SLOPOTHD10,ANALYSIS_MUNICIPAL,float,within DRUID other sewer slope distribution by length in decile 10
SLOPOTHD2,ANALYSIS_MUNICIPAL,float,within DRUID other sewer slope distribution by length in decile 2
SLOPOTHD3,ANALYSIS_MUNICIPAL,float,within DRUID other sewer slope distribution by length in decile 3
SLOPOTHD4,ANALYSIS_MUNICIPAL,float,within DRUID other sewer slope distribution by length in decile 4
SLOPOTHD5,ANALYSIS_MUNICIPAL,float,within DRUID other sewer slope distribution by length in decile 5
SLOPOTHD6,ANALYSIS_MUNICIPAL,float,within DRUID other sewer slope distribution by length in decile 6
SLOPOTHD7,ANALYSIS_MUNICIPAL,float,within DRUID other sewer slope distribution by length in decile 7
SLOPOTHD8,ANALYSIS_MUNICIPAL,float,within DRUID other sewer slope distribution by length in decile 8
SLOPOTHD9,ANALYSIS_MUNICIPAL,float,within DRUID other sewer slope distribution by length in decile 9
SLOPSAN0,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary with no slope
SLOPSAN1,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary in slope class 1 (0-0.2%)
SLOPSAN2,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary in slope class 2 (0.2-0.5%)
SLOPSAN3,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary in slope class 3 (0.5-1.0%)
SLOPSAN4,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary in slope class 4 (1.0-2.0%)
SLOPSAN5,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is sanitary in slope class 5 (>2.0%)
SLOPSAND0,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer slope at minimum
SLOPSAND1,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer slope distribution by length in decile 1
SLOPSAND10,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer slope distribution by length in decile 10
SLOPSAND2,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer slope distribution by length in decile 2
SLOPSAND3,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer slope distribution by length in decile 3
SLOPSAND4,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer slope distribution by length in decile 4
SLOPSAND5,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer slope distribution by length in decile 5
SLOPSAND6,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer slope distribution by length in decile 6
SLOPSAND7,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer slope distribution by length in decile 7
SLOPSAND8,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer slope distribution by length in decile 8
SLOPSAND9,ANALYSIS_MUNICIPAL,float,within DRUID sanitary sewer slope distribution by length in decile 9
SLOPSTR0,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm with no slope
SLOPSTR1,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm in slope class 1 (0-0.2%)
SLOPSTR2,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm in slope class 2 (0.2-0.5%)
SLOPSTR3,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm in slope class 3 (0.5-1.0%)
SLOPSTR4,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm in slope class 4 (1.0-2.0%)
SLOPSTR5,ANALYSIS_MUNICIPAL,float,length/DRUIDarea of sewer in DRUID that is storm in slope class 5 (>2.0%)
SLOPSTRD0,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer slope at minimum
SLOPSTRD1,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer slope distribution by length in decile 1
SLOPSTRD10,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer slope distribution by length in decile 10
SLOPSTRD2,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer slope distribution by length in decile 2
SLOPSTRD3,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer slope distribution by length in decile 3
SLOPSTRD4,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer slope distribution by length in decile 4
SLOPSTRD5,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer slope distribution by length in decile 5
SLOPSTRD6,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer slope distribution by length in decile 6
SLOPSTRD7,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer slope distribution by length in decile 7
SLOPSTRD8,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer slope distribution by length in decile 8
SLOPSTRD9,ANALYSIS_MUNICIPAL,float,within DRUID storm sewer slope distribution by length in decile 9
SPAGE0,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID with no age
SPAGE1,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID in age class 1 (0-5years)
SPAGE2,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID in age class 2 (5-20years)
SPAGE3,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID in age class 3 (20-50years)
SPAGE4,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID in age class 4 (50-70years)
SPAGE5,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID in age class 5 (>70years)
SPAGECOM0,ANALYSIS_MUNICIPAL,integer,presence of combined sewer in DRUID with no age
SPAGECOM1,ANALYSIS_MUNICIPAL,integer,presence of combined sewer in DRUID in age class 1 (0-5years)
SPAGECOM2,ANALYSIS_MUNICIPAL,integer,presence of combined sewer in DRUID in age class 2 (5-20years)
SPAGECOM3,ANALYSIS_MUNICIPAL,integer,presence of combined sewer in DRUID in age class 3 (20-50years)
SPAGECOM4,ANALYSIS_MUNICIPAL,integer,presence of combined sewer in DRUID in age class 4 (50-70years)
SPAGECOM5,ANALYSIS_MUNICIPAL,integer,presence of combined sewer in DRUID in age class 5 (>70years)
SPAGEOTH0,ANALYSIS_MUNICIPAL,integer,presence of other sewer in DRUID with no age
SPAGEOTH1,ANALYSIS_MUNICIPAL,integer,presence of other sewer in DRUID in age class 1 (0-5years)
SPAGEOTH2,ANALYSIS_MUNICIPAL,integer,presence of other sewer in DRUID in age class 2 (5-20years)
SPAGEOTH3,ANALYSIS_MUNICIPAL,integer,presence of other sewer in DRUID in age class 3 (20-50years)
SPAGEOTH4,ANALYSIS_MUNICIPAL,integer,presence of other sewer in DRUID in age class 4 (50-70years)
SPAGEOTH5,ANALYSIS_MUNICIPAL,integer,presence of other sewer in DRUID in age class 5 (>70years)
SPAGESAN0,ANALYSIS_MUNICIPAL,integer,presence of other sewer in DRUID with no age
SPAGESAN1,ANALYSIS_MUNICIPAL,integer,presence of sanitary sewer in DRUID in age class 1 (0-5years)
SPAGESAN2,ANALYSIS_MUNICIPAL,integer,presence of sanitary sewer in DRUID in age class 2 (5-20years)
SPAGESAN3,ANALYSIS_MUNICIPAL,integer,presence of sanitary sewer in DRUID in age class 3 (20-50years)
SPAGESAN4,ANALYSIS_MUNICIPAL,integer,presence of sanitary sewer in DRUID in age class 4 (50-70years)
SPAGESAN5,ANALYSIS_MUNICIPAL,integer,presence of sanitary sewer in DRUID in age class 5 (>70years)
SPAGESTR0,ANALYSIS_MUNICIPAL,integer,presence of storm sewer in DRUID with no age
SPAGESTR1,ANALYSIS_MUNICIPAL,integer,presence of storm sewer in DRUID in age class 1 (0-5years)
SPAGESTR2,ANALYSIS_MUNICIPAL,integer,presence of storm sewer in DRUID in age class 2 (5-20years)
SPAGESTR3,ANALYSIS_MUNICIPAL,integer,presence of storm sewer in DRUID in age class 3 (20-50years)
SPAGESTR4,ANALYSIS_MUNICIPAL,integer,presence of storm sewer in DRUID in age class 4 (50-70years)
SPAGESTR5,ANALYSIS_MUNICIPAL,integer,presence of storm sewer in DRUID in age class 5 (>70years)
SPCOM,ANALYSIS_MUNICIPAL,integer,presence of combined sewer in DRUID
SPDIA0,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID with no diameter
SPDIA1,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID in diameter class 1 (0-200mm)
SPDIA2,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID in diameter class 2 (200-300mm)
SPDIA3,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID in diameter class 3 (300-450mm)
SPDIA4,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID in diameter class 4 (450-750mm)
SPDIA5,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID in diameter class 5 (750-1200mm)
SPDIA6,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID in diameter class 6 (>1200mm)
SPDIACOM0,ANALYSIS_MUNICIPAL,integer,presence of combined sewer in DRUID with no diameter
SPDIACOM1,ANALYSIS_MUNICIPAL,integer,presence of combined sewer in DRUID in diameter class 1 (0-200mm)
SPDIACOM2,ANALYSIS_MUNICIPAL,integer,presence of combined sewer in DRUID in diameter class 2 (200-300mm)
SPDIACOM3,ANALYSIS_MUNICIPAL,integer,presence of combined sewer in DRUID in diameter class 3 (300-450mm)
SPDIACOM4,ANALYSIS_MUNICIPAL,integer,presence of combined sewer in DRUID in diameter class 4 (450-750mm)
SPDIACOM5,ANALYSIS_MUNICIPAL,integer,presence of combined sewer in DRUID in diameter class 5 (750-1200mm)
SPDIACOM6,ANALYSIS_MUNICIPAL,integer,presence of combined sewer in DRUID in diameter class 6 (>1200mm)
SPDIAOTH0,ANALYSIS_MUNICIPAL,integer,presence of other sewer in DRUID with no diameter
SPDIAOTH1,ANALYSIS_MUNICIPAL,integer,presence of other sewer in DRUID in diameter class 1 (0-200mm)
SPDIAOTH2,ANALYSIS_MUNICIPAL,integer,presence of other sewer in DRUID in diameter class 2 (200-300mm)
SPDIAOTH3,ANALYSIS_MUNICIPAL,integer,presence of other sewer in DRUID in diameter class 3 (300-450mm)
SPDIAOTH4,ANALYSIS_MUNICIPAL,integer,presence of other sewer in DRUID in diameter class 4 (450-750mm)
SPDIAOTH5,ANALYSIS_MUNICIPAL,integer,presence of other sewer in DRUID in diameter class 5 (750-1200mm)
SPDIAOTH6,ANALYSIS_MUNICIPAL,integer,presence of other sewer in DRUID in diameter class 6 (>1200mm)
SPDIASAN0,ANALYSIS_MUNICIPAL,integer,presence of sanitary sewer in DRUID with no diameter
SPDIASAN1,ANALYSIS_MUNICIPAL,integer,presence of sanitary sewer in DRUID in diameter class 1 (0-200mm)
SPDIASAN2,ANALYSIS_MUNICIPAL,integer,presence of sanitary sewer in DRUID in diameter class 2 (200-300mm)
SPDIASAN3,ANALYSIS_MUNICIPAL,integer,presence of sanitary sewer in DRUID in diameter class 3 (300-450mm)
SPDIASAN4,ANALYSIS_MUNICIPAL,integer,presence of sanitary sewer in DRUID in diameter class 4 (450-750mm)
SPDIASAN5,ANALYSIS_MUNICIPAL,integer,presence of sanitary sewer in DRUID in diameter class 5 (750-1200mm)
SPDIASAN6,ANALYSIS_MUNICIPAL,integer,presence of sanitary sewer in DRUID in diameter class 6 (>1200mm)
SPDIASTR0,ANALYSIS_MUNICIPAL,integer,presence of storm sewer in DRUID with no diameter
SPDIASTR1,ANALYSIS_MUNICIPAL,integer,presence of storm sewer in DRUID in diameter class 1 (0-200mm)
SPDIASTR2,ANALYSIS_MUNICIPAL,integer,presence of storm sewer in DRUID in diameter class 2 (200-300mm)
SPDIASTR3,ANALYSIS_MUNICIPAL,integer,presence of storm sewer in DRUID in diameter class 3 (300-450mm)
SPDIASTR4,ANALYSIS_MUNICIPAL,integer,presence of storm sewer in DRUID in diameter class 4 (450-750mm)
SPDIASTR5,ANALYSIS_MUNICIPAL,integer,presence of storm sewer in DRUID in diameter class 5 (750-1200mm)
SPDIASTR6,ANALYSIS_MUNICIPAL,integer,presence of storm sewer in DRUID in diameter class 6 (>1200mm)
SPOTH,ANALYSIS_MUNICIPAL,integer,presence of other sewer in DRUID
SPSAN,ANALYSIS_MUNICIPAL,integer,presence of sanitary sewer in DRUID
SPSEW,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID
SPSLP0,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID with no slope
SPSLP1,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID in slope class 1 (0-0.5%)
SPSLP2,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID in slope class 2 (0.5-2%)
SPSLP3,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID in slope class 3 (>2%)
SPSLP4,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID in slope class
SPSLP5,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID in slope class
SPSLPCOM0,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is combined with no slope
SPSLPCOM1,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is combined in slope class 1 (0-0.2%)
SPSLPCOM2,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is combined in slope class 2 (0.2-0.5%)
SPSLPCOM3,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is combined in slope class 3 (0.5-1.0%)
SPSLPCOM4,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is combined in slope class 4 (1.0-2.0%)
SPSLPCOM5,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is combined in slope class 5 (>2.0%)
SPSLPOTH0,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is sanitary with no slope
SPSLPOTH1,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is other in slope class 1 (0-0.2%)
SPSLPOTH2,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is other in slope class 2 (0.2-0.5%)
SPSLPOTH3,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is other in slope class 3 (0.5-1.0%)
SPSLPOTH4,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is other in slope class 4 (1.0-2.0%)
SPSLPOTH5,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is other in slope class 5 (>2.0%)
SPSLPSAN0,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is sanitary with no slope
SPSLPSAN1,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is sanitary in slope class 1 (0-0.2%)
SPSLPSAN2,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is sanitary in slope class 2 (0.2-0.5%)
SPSLPSAN3,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is sanitary in slope class 3 (0.5-1.0%)
SPSLPSAN4,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is sanitary in slope class 4 (1.0-2.0%)
SPSLPSAN5,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is sanitary in slope class 5 (>2.0%)
SPSLPSTR0,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is storm with no slope
SPSLPSTR1,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is storm in slope class 1 (0-0.2%)
SPSLPSTR2,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is storm in slope class 2 (0.2-0.5%)
SPSLPSTR3,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is storm in slope class 3 (0.5-1.0%)
SPSLPSTR4,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is storm in slope class 4 (1.0-2.0%)
SPSLPSTR5,ANALYSIS_MUNICIPAL,integer,presence of sewer in DRUID that is storm in slope class 5 (>2.0%)
SPSTR,ANALYSIS_MUNICIPAL,integer,presence of storm sewer in DRUID
SSH1,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH2,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH3,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH4,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH5,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH6,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH7,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH8,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH9,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH10,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH11,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH12,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH13,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH14,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH15,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH16,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH17,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH18,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH19,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH20,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH21,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH22,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH23,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH24,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
SSH25,ANALYSIS_MUNICIPAL,integer,sewershed DRUID is serviced by
T5_25MN,ANALYSIS_MUNICIPAL,float,zonal DRUID difference between cell and 25m kernel
T5_25SD,ANALYSIS_MUNICIPAL,float,zonal DRUID standard deviation of 25m kernel
T5_50MN,ANALYSIS_MUNICIPAL,float,zonal DRUID difference between cell and 50m kernel
T5_50SD,ANALYSIS_MUNICIPAL,float,zonal DRUID standard deviation of 50m kernel
T5_75MN,ANALYSIS_MUNICIPAL,float,zonal DRUID difference between cell and 75m kernel
T5_75SD,ANALYSIS_MUNICIPAL,float,zonal DRUID standard deviation of 75m kernel
T5_100MN,ANALYSIS_MUNICIPAL,float,zonal DRUID difference between cell and 100m kernel
T5_100SD,ANALYSIS_MUNICIPAL,float,zonal DRUID standard deviation of 100m kernel
T5_150MN,ANALYSIS_MUNICIPAL,float,zonal DRUID difference between cell and 150m kernel
T5_150SD,ANALYSIS_MUNICIPAL,float,zonal DRUID standard deviation of 150m kernel
T5_200MN,ANALYSIS_MUNICIPAL,float,zonal DRUID difference between cell and 200m kernel
T5_200SD,ANALYSIS_MUNICIPAL,float,zonal DRUID standard deviation of 200m kernel
T5_250MN,ANALYSIS_MUNICIPAL,float,zonal DRUID difference between cell and 250m kernel
T5_250SD,ANALYSIS_MUNICIPAL,float,zonal DRUID standard deviation of 250m kernel
T10_250MN,ANALYSIS_MUNICIPAL,float,zonal DRUID difference between cell and 250m kernel
T10_250SD,ANALYSIS_MUNICIPAL,float,zonal DRUID standard deviation of 250m kernel
T10_300MN,ANALYSIS_MUNICIPAL,float,zonal DRUID difference between cell and 300m kernel
T10_300SD,ANALYSIS_MUNICIPAL,float,zonal DRUID standard deviation of 300m kernel
T10_350MN,ANALYSIS_MUNICIPAL,float,zonal DRUID difference between cell and 350m kernel
T10_350SD,ANALYSIS_MUNICIPAL,float,zonal DRUID standard deviation of 350m kernel
T10_400MN,ANALYSIS_MUNICIPAL,float,zonal DRUID difference between cell and 400m kernel
T10_400SD,ANALYSIS_MUNICIPAL,float,zonal DRUID standard deviation of 400m kernel
T10_450MN,ANALYSIS_MUNICIPAL,float,zonal DRUID difference between cell and 450m kernel
